9.821082931011915207e-04 6.731430441141128540e-02 6.894065439701080322e-02 9.687500596046447754e-01
8.677476434968411922e-04 5.309910699725151062e-02 3.533247485756874084e-02 9.895833730697631836e-01
7.505000103265047073e-04 3.376979380846023560e-02 1.732419803738594055e-02 9.958333969116210938e-01
6.332523771561682224e-04 3.358133882284164429e-02 3.486807644367218018e-02 9.916667342185974121e-01
5.188917857594788074e-04 4.655898362398147583e-02 3.159339725971221924e-02 9.875000715255737305e-01
4.102341190446168184e-04 3.302917629480361938e-02 1.897555775940418243e-02 9.916667342185974121e-01
3.099549503531306982e-04 2.098359726369380951e-02 1.667633652687072754e-02 9.937500357627868652e-01
2.205234632128849626e-04 1.881806924939155579e-02 1.682624779641628265e-02 9.916667342185974121e-01
1.441417698515579104e-04 1.815481670200824738e-02 1.672405935823917389e-02 9.958333969116210938e-01
8.269061072496697307e-05 1.788592338562011719e-02 1.671511307358741760e-02 9.937500357627868652e-01
3.768314127228222787e-05 1.776409521698951721e-02 1.673567853868007660e-02 9.937500357627868652e-01
1.022758897306630388e-05 1.776347495615482330e-02 1.675367727875709534e-02 9.937500357627868652e-01
9.999999974752427079e-07 1.768100447952747345e-02 1.674952171742916107e-02 9.937500357627868652e-01
1.022758897306630388e-05 1.768026873469352722e-02 1.675423234701156616e-02 9.937500357627868652e-01
3.768314127228222787e-05 1.769375987350940704e-02 1.675919443368911743e-02 9.937500357627868652e-01
8.269061072496697307e-05 1.762807555496692657e-02 1.662087254226207733e-02 9.916667342185974121e-01
1.441417698515579104e-04 1.753751747310161591e-02 1.655392162501811981e-02 9.916667342185974121e-01
2.205234632128849626e-04 1.740984991192817688e-02 1.629591733217239380e-02 9.916667342185974121e-01
3.099549503531306982e-04 1.720287464559078217e-02 1.694884523749351501e-02 9.937500357627868652e-01
4.102341190446168184e-04 1.821710728108882904e-02 1.454335264861583710e-02 9.937500357627868652e-01
5.188917857594788074e-04 3.178231418132781982e-02 6.539253890514373779e-02 9.750000238418579102e-01
6.332523771561682224e-04 1.522260159254074097e-01 1.766193360090255737e-01 9.375000596046447754e-01
7.505000103265047073e-04 1.133471354842185974e-01 6.330629438161849976e-02 9.750000238418579102e-01
8.677476434968411922e-04 6.143629923462867737e-02 4.936696588993072510e-02 9.812500476837158203e-01
9.821082931011915207e-04 8.076491206884384155e-02 5.513500049710273743e-02 9.750000238418579102e-01
1.090765930712223053e-03 1.157227978110313416e-01 1.056722030043601990e-01 9.583333730697631836e-01
